id,section,code,district_id,region_id
1469,Dema-Bromley 132kV Line,572829,,8
1470,Park Road-Middle Sabi T-Off 132kV Line,572830,,8
1471,Warren,CC572835,,8
1472,Substations,CC572838,,8
1473,Warren 330kV S/s,572838,,8
1474,Warren 132kV S/s,572839,,8
1475,Kadoma 88kV S/s,572840,,8
1476,Lines,CC572845,,8
1477,D2: Warren-Norton 330kV Line,572845,,8
1478,Warren-Seke 132kV Line,572846,,8
1479,Warren-Atlanta 132kV Line,572847,,8
1480,P1:Dema-Warren 330kV Line,572848,,8
1481,Dema-Seke 132kV Line,572849,,8
1482,L1: Warren-Harare1 330kV Line,572850,,8
1483,L2: Warren-Harare2 330kV Line,572851,,8
1484,CB1: Songo-Bindura 420kV Line,572852,,8
1485,BD1: Bindura-Dema 330kV Line,572853,,8
1486,Trojan-Madziwa 88kV Line,572854,,8
1487,Dema-Coleford 132kV Line,572855,,8
1488,Bindura-Trojan 132kV Line,572856,,8
1489,Selous,CC572870,,8
1490,Substations,CC572871,,8
1491,Selous 330kV S/s,572871,,8
1492,Rimuka 88kV S/s,572872,,8
1493,Bedford 88kV S/s,572873,,8
1494,Eiffel Flats 88kV S/s,572874,,8
1495,Monawood 132kV S/s,572875,,8
1496,SMC 88kV S/s,572876,,8
1497,Lines,CC572880,,8
1498,Regional Transmission West,CC573000,,8
1499,Western Regional Office,573005,,8
1500,Western Region Risk Control,573006,,8
1501,Hwange,CC573010,,8
1502,Substations,CC573015,,8
1503,Hwange 330kV S/s,573015,,8
1504,Victoria Falls 88kV S/s,573017,,8
1505,Zambezi River Pumps 88kV S/s,573018,,8
1506,Lines,CC573025,,8
1507,R1:1-629 Line,573025,,8
1508,S1:1-800 Line,573026,,8
1509,S2:1-800 Line,573027,,8
1510,Hwange Local Line,573028,,8
1511,Zambezi River Pumps Line,573029,,8
1512,Hwange-Victoria Falls Line,573030,,8
1513,Insukamini,CC573040,,8
1514,Substations,CC573045,,8
1515,Insukamini 420kV S/s,573045,,8
1516,Insukamini 330kV S/s,573046,,8
1517,Esigodini 88kV S/s,573047,,8
1518,Gwanda 132kV S/s,573048,,8
1519,Gwanda 88kV S/s,573049,,8
1520,Springs 88kV S/s,573050,,8
1521,Lines,CC573055,,8
1522,MK1 Line,573056,,8
1523,R3: 1-74 Line,573057,,8
1524,R4: 1-74 Line,573058,,8
1525,Marvel,CC573070,,8
1526,Substations,CC573075,,8
1527,Marvel 330kV S/s,573075,,8
1528,Marvel 88kV S/s,573076,,8
1529,Turk mine 88kV S/s,573077,,8
1530,Filabusi 88kV S/s,573078,,8
1531,Ncema 88kV S/s,573079,,8
1532,Mzinyathini 88kV S/s,573080,,8
1533,Fernhill 88kV S/s,573081,,8
1534,Lines,CC573085,,8
1535,R2: 629-701 Line,573086,,8
1536,Marvel - Turkmine Line,573087,,8
1537,Byo-Ftwn 1-378 Line,573088,,8
1538,Marvel-Esigodini Line,573089,,8
1539,Esigodini-Ncema Line,573090,,8
1540,Mzinyathini-Ncema Line,573091,,8
1541,Marvel-Gwanda Line,573092,,8
1542,Ncema-Filabusi Line,573093,,8
1543,Tokwe,CC573100,,8
1544,Substations,CC573105,,8
1545,Tokwe 330kV S/s,573105,,8
1546,Tokwe 132kV S/s,573106,,8
1547,Mashava 132kV S/s,573107,,8
1548,Mwenezi 132kV S/s,573108,,8
1549,Triangle 132kV S/s,573109,,8
1550,Zvishavane 132kV S/s,573110,,8
1551,Beitbridge 132kV S/s,573111,,8
1552,Mberengwa 132kV S/s,573112,,8
1553,Mimosa 132kV S/s,573113,,8
1554,Lines,CC573120,,8
1555,X1:1-267 Line,573120,,8
1556,T1:1-321 Line,573121,,8
1557,Mberengwa-Gwanda Line,573122,,8
1558,Mberengwa-Mimosa Line,573123,,8
1559,Zvishavane-Mberengwa Line,573124,,8
1560,Mwenezi-Beitbridge Line,573125,,8
1561,Tokwe-Zvishavane1 Line,573126,,8
1562,Tokwe-Zvishavane2 Line,573127,,8
1563,Tokwe-Mashava 1 Line,573128,,8
1564,Tokwe-Mashava 2 Line,573129,,8
1565,Mwenezi-Triangle Line,573130,,8
1566,Zvishavane-Shurugwi Line,573131,,8
1567,Beitbridge-Limpopo Line,573132,,8
1568,Haven,CC573140,,8
1569,Substations,CC573145,,8
1570,Haven 330kV S/s,573145,,8
1571,Haven 132kV S/s,573146,,8
1572,Ripple Creek 132kV S/s,573147,,8
1573,Hunters Road 88kV S/s,573148,,8
1574,Zisco 132kV S/s,573149,,8
1575,Redcliff 88kV S/s,573150,,8
1576,Zisco 88kV S/s,573151,,8
1577,Steelmakers 88kV S/s,573152,,8
1578,Lines,CC573155,,8
1579,Chertsey,CC573160,,8
