"name","type","classification","code","depot_name","district_name","region_name"
"PALM_TREE_33KV_S.S","DISTRIBUTION","PRIMARY","M94","MHANGURA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"MWENEZI 132/33","SUBSTATION","PRIMARY","L15","RUTENGA  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"CHITUNGWIZA","SUBSTATION","PRIMARY","M109","MAKONI DEPOT","CHITUNGWIZA DISTRICT","HARARE REGION"
"FLYDE_88KV_S.S","POWER","PRIMARY","H62","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"TRIANGLE MILL 33/11","SUBSTATION","PRIMARY","T11","CHIREDZI  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"CHIREDZI EAST 33/11","SUBSTATION","PRIMARY","L18","CHIREDZI  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"RUTENGA 33/11","SUBSTATION","PRIMARY","L11","RUTENGA  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"TRIANGLE 132/33","SUBSTATION","PRIMARY","T15","CHIREDZI  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"KOPJE","SUBSTATION","PRIMARY","1517","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"KADOMA_INDUSTRIAL_33KV_S.S","DISTRIBUTION","PRIMARY","H57","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"GRANITESIDE","PRIMARY","SWITCHING STATION","204","WATERFALLS DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"LAURANCEDALE_33KV_S.S","DISTRIBUTION","PRIMARY","M29","CONCESSION DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"MUROMBEDZI_S.S","DISTRIBUTION","PRIMARY","M119","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"MWANGA_33KV_S.S","DISTRIBUTION","PRIMARY","M108","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"MVURWI_NORTH_33KV_S.S","DISTRIBUTION","PRIMARY","M66","CONCESSION DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"4/1 ARMY CAMP","SUBSTATION","PRIMARY","S42","MASVINGO  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"HUNYANI_PT_B_33KV_S.S","DISTRIBUTION","PRIMARY","M83","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"BEERSHEBA_33KV_S.S","DISTRIBUTION","PRIMARY","M91","CHEGUTU DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"SHAMVA_33KV_S.S","DISTRIBUTION","PRIMARY","M9","BINDURA DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"MAZVIKADEI_33KV_S.S","DISTRIBUTION","PRIMARY","M113","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"ZVISHAVANE ","SUBSTATION","PRIMARY","S3","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"UMFULI_33KV_S.S","DISTRIBUTION","PRIMARY","H10","CHEGUTU DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"CONCESSION_HILL_33KV_S.S","DISTRIBUTION","PRIMARY","H16","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
