"name","type","classification","code","depot_name","district_name","region_name"
"BUSHMEAD 33/11","SUBSTATION","PRIMARY","S24","MASVINGO  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"NORTON_INDUSTRIAL_33KV_S.S","DISTRIBUTION","PRIMARY","M123",NULL,"KADOMA DISTRICT ","NORTHERN REGION"
"CRITERION","SUBSTATION","PRIMARY","CRI88","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"MABELREIGN","PRIMARY","SWITCHING STATION","265","MABELREIGN DEPOT","HR NORTH DISTRICT","HARARE REGION"
"INVERNES","PRIMARY","SWITCHING STATION","403","MABVUKU DEPOT","HR EAST DISTRICT","HARARE REGION"
"HUNYANI","SUBSTATION","PRIMARY","438","KUWADZANA DEPOT","HR NORTH DISTRICT","HARARE REGION"
"PROSPECT","SUBSTATION","PRIMARY","1300","WATERFALLS DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"GOLDEN_VALLEY_33KV_S.S","DISTRIBUTION","PRIMARY","H13","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"VUMBACHIKWE MINE","SUBSTATION","PRIMARY","J1","GWANDA DEPOT","GWANDA DISTRICT","WESTERN REGION"
"TULI MAKWE","SUBSTATION","PRIMARY","J2","GWANDA DEPOT","GWANDA DISTRICT","WESTERN REGION"
"MANAMA","SUBSTATION","PRIMARY","J25","GWANDA DEPOT","GWANDA DISTRICT","WESTERN REGION"
"RUWA","SUBSTATION","PRIMARY","1516","RUWA DEPOT","HR EAST DISTRICT","HARARE REGION"
"INSUKAMINI ","SUBSTATION","PRIMARY","INS88","BULAWAYO ENVIRONS  DEPOT","GWANDA DISTRICT","WESTERN REGION"
"MVUMA","SUBSTATION","PRIMARY","G9","MVUMA DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"ACES","SUBSTATION","PRIMARY","519","WARREN PARK DEPOT","HR NORTH DISTRICT","HARARE REGION"
"ZVISHAVANE WEST","SUBSTATION","PRIMARY","S33","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"PUMULA SOUTH","SUBSTATION","PRIMARY","PUM88","BYO EAST URBAN  DEPOT","BYO WEST DISTRICT ","WESTERN REGION"
"BELMONT","SUBSTATION","PRIMARY","BEL88","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"COLLEEN BAWN","SUBSTATION","PRIMARY","J6","GWANDA DEPOT","GWANDA DISTRICT","WESTERN REGION"
"HATCLIFF","SUBSTATION","PRIMARY","3824","BORROWDALE DEPOT","HR EAST DISTRICT","HARARE REGION"
"ZISCO SWITCHING YARD","SWITCHING STATION","SWITCH STATION/YARD","ZISCO SWITCHING YARD","REDCLIFF DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"ZVISHAVANE LOCAL","SUBSTATION","PRIMARY","S32","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"RAFFINGORA_33KV_S.S","DISTRIBUTION","PRIMARY","M84","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"LIONS_DEN_33KV_S.S","DISTRIBUTION","PRIMARY","M64","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"INDUSTRIAL","SUBSTATION","PRIMARY","M55","ZENGEZA DEPOT","CHITUNGWIZA DISTRICT","HARARE REGION"
"TOWN1","SUBSTATION","PRIMARY","M81","MAKONI DEPOT","CHITUNGWIZA DISTRICT","HARARE REGION"
"GOKWE","SUBSTATION","PRIMARY","H55","GOKWE DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"MKOBA ","SUBSTATION","PRIMARY","G26","GWERU URBAN DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"ZVISHAVANE SOUTH","SUBSTATION","PRIMARY","S6","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"MBERENGWA 132 SWITCHING STATION","SWITCHING STATION","SWITCH STATION/YARD","S45","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"BIRKDALE_33KV_S.S","DISTRIBUTION","PRIMARY","M44","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"RUSAPE132/33 ","SUBSTATION","BULK SUPPLY POINT","U20","RUSAPE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"CHIPINGE 33/11","SUBSTATION","PRIMARY","U2","CHIPINGE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"SANDE","SUBSTATION","PRIMARY","4038","WATERFALLS DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"HATFIELD GATES","SUBSTATION","PRIMARY","415","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"INKOMO_33KV_S.S","DISTRIBUTION","PRIMARY","M67","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"TSUNGWEZI 33/11","SUBSTATION","PRIMARY","U7","RUSAPE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"ZISCO 88","SUBSTATION","PRIMARY","ZISCO 88","REDCLIFF DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"LYTTON LOCAL","PRIMARY","SWITCHING STATION","453","WARREN PARK DEPOT","HR NORTH DISTRICT","HARARE REGION"
"NKAYI ","SUBSTATION","PRIMARY","H78","NKAYI DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"INYALA MINE","SUBSTATION","PRIMARY","S36","MATAGA DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"ZAKA 33/11","SUBSTATION","PRIMARY","S41-ER",NULL,"MASVINGO DISTRICT ","EASTERN REGION"
"LINCOLN","PRIMARY","SWITCHING STATION","39","MABELREIGN DEPOT","HR NORTH DISTRICT","HARARE REGION"
"MBERENGWA","SUBSTATION","PRIMARY","S5","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"MARVEL","SUBSTATION","PRIMARY","MAR88/33","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"JOTSHOLO","SUBSTATION","PRIMARY","W18","HWANGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"PLUMTREE","SUBSTATION","PRIMARY","N12","PLUMTREE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"PRINCESS","SUBSTATION","PRIMARY","J3","GWANDA DEPOT","GWANDA DISTRICT","WESTERN REGION"
"BATTLEFIELD","SUBSTATION","PRIMARY","H40","KWEKWE URBAN DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"BUCHWA","SUBSTATION","PRIMARY","S25","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"MUROWA DIAMONDS","SUBSTATION","PRIMARY","S41","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"SABI MINE","SUBSTATION","PRIMARY","S40","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"SENGA","SUBSTATION","PRIMARY","G34","GWERU URBAN DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"INDIVA","SUBSTATION","PRIMARY","G5","GWERU ENVIRONS DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"ATHENS MINE","SUBSTATION","PRIMARY","G16","MVUMA DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"INDIVA SWITCHING  STATION","SWITCHING STATION","SWITCH STATION/YARD","573171","GWERU ENVIRONS DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"FERUKA 33/11","SUBSTATION","PRIMARY","U3","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"REDWING MINE 33/11","SUBSTATION","PRIMARY","U27","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"OSBORNE 33/11","SUBSTATION","PRIMARY","U59","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"FIGTREE","SUBSTATION","PRIMARY","N7","BULAWAYO ENVIRONS  DEPOT","GWANDA DISTRICT","WESTERN REGION"
"NASHVILLE","SUBSTATION","PRIMARY","G27","GWERU URBAN DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"KAROI_33KV_S.S","DISTRIBUTION","PRIMARY","K2","KAROI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"GURUVE_33KV_S.S","DISTRIBUTION","PRIMARY","M129","MVURWI DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"TILBURY 33/11","SUBSTATION","PRIMARY","U43","CHIMANIMANI  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"COVENTRY","SUBSTATION","PRIMARY","4052","WARREN PARK DEPOT","HR NORTH DISTRICT","HARARE REGION"
"NYAMANDLOVU ","SUBSTATION","PRIMARY","Q12","TURK MINE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"MARONDERA_132KV_S.S","POWER","PRIMARY","M78","MARONDERA DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"NYAMBUYA_DAM_33KV_S.S","DISTRIBUTION","PRIMARY","M80","MARONDERA DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"MURIEL_MINE_33KV_S.S","DISTRIBUTION","PRIMARY","M35","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"GOLDEN_KOPJE_33KV_S.S","DISTRIBUTION","PRIMARY","M88","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"CHINHOYI_NO.2_33KV_S.S","DISTRIBUTION","PRIMARY","M133","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"MUTORASHANGA_330KV_S.S","POWER","PRIMARY","M75_","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"BORROWDALE","DISTRIBUTION","PRIMARY","M41_","JURU DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"MADZIWA_88KV_S.S","POWER","PRIMARY","M17","BINDURA DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"MAZOWE_88KV_S.S","POWER","PRIMARY","M30","CONCESSION DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"MOTAPA","SUBSTATION","PRIMARY","Q6","TURK MINE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"ARCTURUS_CHIKOMO_33KV_S.S","DISTRIBUTION","PRIMARY","M140","JURU DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"NEW_ATLANTA_33KV_S.S","DISTRIBUTION","PRIMARY","M57","JURU DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"MHANGURA_33KV_S.S","DISTRIBUTION","PRIMARY","M73","MHANGURA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"GWENHORO MAIN","SUBSTATION","PRIMARY","G15","SHURUGWI DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"PPC REGULATING STATION","SUBSTATION","SWITCHING","PPCSW","GWANDA DEPOT","GWANDA DISTRICT","WESTERN REGION"
"MKOSANA ","SUBSTATION","PRIMARY","V3",NULL,"GWANDA DISTRICT","WESTERN REGION"
"TABAMALI","SUBSTATION","PRIMARY","H24","KWEKWE URBAN DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"PEAK MINE","SUBSTATION","PRIMARY","G12","SHURUGWI DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"EMGANWINI","SUBSTATION","PRIMARY","EMG88","BYO EAST URBAN  DEPOT","BYO WEST DISTRICT ","WESTERN REGION"
"AURIDIUM","SUBSTATION","PRIMARY","J29","BEITBRIDGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"LEMBWE_33KV_S.S","DISTRIBUTION","PRIMARY","M7","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"BINDURA_132KV_S.S","POWER","PRIMARY","M128","BINDURA DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"NOTTINGHAM","SUBSTATION","PRIMARY","J19","BEITBRIDGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"ILANDA","SUBSTATION","PRIMARY","ILA33","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"LYNETTE","SUBSTATION","PRIMARY","1510","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"HYDEPARK","SUBSTATION","PRIMARY","HYD88","ENTUMBANE DEPOT","BYO WEST DISTRICT ","WESTERN REGION"
"MPOPOMA","SUBSTATION","PRIMARY","MPO88","ENTUMBANE DEPOT","BYO WEST DISTRICT ","WESTERN REGION"
"ENGUTSHENI","SUBSTATION","PRIMARY","ENG88","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"VALLEYFIELDS","SUBSTATION","PRIMARY","VAL88","BYO EAST URBAN  DEPOT","BYO WEST DISTRICT ","WESTERN REGION"
"BINGA","SUBSTATION","PRIMARY","W23","BINGA DEPOT","GWANDA DISTRICT","WESTERN REGION"
"MUTORASHANGA_33KV_S.S","DISTRIBUTION","PRIMARY","M33","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"PORTLAND","SUBSTATION","PRIMARY","G24","GWERU URBAN DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"ANCHOR YEAST ","SWITCHING STATION","SWITCH STATION/YARD","G7S150-G7S159","GWERU URBAN DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"SINO ZIMBABWE","SUBSTATION","PRIMARY","573175","GWERU ENVIRONS DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"MODZONE CONTROL","SUBSTATION","PRIMARY","M89","ZENGEZA DEPOT","CHITUNGWIZA DISTRICT","HARARE REGION"
"BEITBRIDGE","SUBSTATION","PRIMARY","J28","BEITBRIDGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"FORESTVALE","SUBSTATION","PRIMARY","FOR88","ENTUMBANE DEPOT","BYO WEST DISTRICT ","WESTERN REGION"
"LIMPOPO","SUBSTATION","PRIMARY","J17","BEITBRIDGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"ORIBI_33KV_S.S","DISTRIBUTION","PRIMARY","M93","JURU DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"GARDENS","SUBSTATION","PRIMARY","1501","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"DORSET","SUBSTATION","PRIMARY","16","BORROWDALE DEPOT","HR EAST DISTRICT","HARARE REGION"
"QUEENS PARK ","SUBSTATION","PRIMARY","QUE88","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"KIA_ORA_33KV_S.S","DISTRIBUTION","PRIMARY","M103","CONCESSION DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"BINDURA_33KV_S.S","DISTRIBUTION","PRIMARY","M8","BINDURA DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"HWANGE HOUSING","SUBSTATION","PRIMARY","W22","HWANGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"COWDRAY PARK","SUBSTATION","PRIMARY","COW88","ENTUMBANE DEPOT","BYO WEST DISTRICT ","WESTERN REGION"
"DATATA_33KV_S.S","DISTRIBUTION","PRIMARY","M99","BROMLEY DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"CAESAR_MINE_33KV_S.S","DISTRIBUTION","PRIMARY","M74","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"MIMOSA ","SUBSTATION","PRIMARY","MIMOSA ","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"MBERENGWA SOUTH","SUBSTATION","PRIMARY","S20","ZVISHAVANE DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"WILLOWVALE CONTROL","SUBSTATION","PRIMARY","1340","SOUTHERTON DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"CENTRAGRID_2.50MVA_SOLAR_PLANT","DISTRIBUTION","PRIMARY","M41","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"RAILWAY BLOCK","SUBSTATION","PRIMARY","G11","SHURUGWI DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"P.E DAM","SUBSTATION","PRIMARY","1506","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"PARKRIDGE","SUBSTATION","PRIMARY","1503","KUWADZANA DEPOT","HR NORTH DISTRICT","HARARE REGION"
"ZIMASCO EAST","SUBSTATION","PRIMARY","H68","KWEKWE URBAN DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"HERMES","PRIMARY","SWITCHING STATION","450","SOUTHERTON DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"MATOPOS","SUBSTATION","PRIMARY","MAT","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"DARWENDALE 33KV","DISTRIBUTION","PRIMARY","M34","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"FILABUSI","SUBSTATION","PRIMARY","J11","ESIGODINI DEPOT","GWANDA DISTRICT","WESTERN REGION"
"MUTORASHANGA_132KV_S.S","POWER","PRIMARY","M75","MUTORASHANGA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"STEELDALE","SUBSTATION","PRIMARY","STE33","ENTUMBANE DEPOT","BYO WEST DISTRICT ","WESTERN REGION"
"SHILOR ","SUBSTATION","PRIMARY","Q2","TURK MINE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"GLEN VIEW","SUBSTATION","PRIMARY","1508","GLENVIEW DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"STAMFORD","SUBSTATION","PRIMARY","1505","MABELREIGN DEPOT","HR NORTH DISTRICT","HARARE REGION"
"SELOUS","SUBSTATION","PRIMARY","1000","BORROWDALE DEPOT","HR EAST DISTRICT","HARARE REGION"
"WYNNE STREET","PRIMARY","SWITCHING STATION","304","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"HWANGE 33","SUBSTATION","SWITCHING","W14","HWANGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"UMGUZA","SUBSTATION","PRIMARY","Q11","TURK MINE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"LONDON ROAD","SUBSTATION","PRIMARY","LON88","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"FIFE STREET","SUBSTATION","PRIMARY","FIF33","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"MHANGURA_88KV_S.S","POWER","PRIMARY","M38","MHANGURA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"ALASKA_33KV_S.S","DISTRIBUTION","PRIMARY","M49","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"COLEFORD","SUBSTATION","PRIMARY","1133","MABVUKU DEPOT","HR EAST DISTRICT","HARARE REGION"
"SENIORS","SUBSTATION","PRIMARY","189","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"POMONA","SUBSTATION","PRIMARY","1507","BORROWDALE DEPOT","HR EAST DISTRICT","HARARE REGION"
"HIGHFIELD","SUBSTATION","PRIMARY","1504","SOUTHERTON DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"THORNHILL SWITCHING STATION","SWITCHING STATION","SWITCH STATION/YARD","G14S105-7","GWERU URBAN DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"GLENSIDE_33KV_S.S","DISTRIBUTION","PRIMARY","M79","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"MAGUNJE_33KV_S.S","DISTRIBUTION","PRIMARY","K6","KAROI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"MARONDERA_SOUTH_33KV_S.S","DISTRIBUTION","PRIMARY","M18","MARONDERA DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"SANDAWANA","SUBSTATION","PRIMARY","S35","MATAGA DEPOT","ZVISHAVANE DISTRICT ","SOUTHERN REGION"
"EPWORTH","SUBSTATION","PRIMARY","1512","RUWA DEPOT","HR EAST DISTRICT","HARARE REGION"
"ZIMPHOS CONTROL","SUBSTATION","PRIMARY","973","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"GOLDEN QUARY","SUBSTATION","PRIMARY","G19","SHURUGWI DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"MAZUNGA","SUBSTATION","PRIMARY","J18","BEITBRIDGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"KHUMALO","SUBSTATION","PRIMARY","KHU33","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"CEMENT","SUBSTATION","PRIMARY","CEM88","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"MSASA","SUBSTATION","PRIMARY","H39","KWEKWE URBAN DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"IMPALI SOURCE","SUBSTATION","PRIMARY","G37","SHURUGWI DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"DANGAMVURA 33/11","SUBSTATION","PRIMARY","U34","MUTARE URBAN  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"WATSOMBA 33/11","SUBSTATION","PRIMARY","U49","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"RUSAPE NORTH 33/11","SUBSTATION","PRIMARY","U28","RUSAPE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"WAPS","SUBSTATION","PRIMARY","1200","WARREN PARK DEPOT","HR NORTH DISTRICT","HARARE REGION"
"ESSEXVALE","SUBSTATION","PRIMARY","N3","ESIGODINI DEPOT","GWANDA DISTRICT","WESTERN REGION"
"SENTINEL","SUBSTATION","PRIMARY","J27","BEITBRIDGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"BLANKET MINE","SUBSTATION","PRIMARY","J4","GWANDA DEPOT","GWANDA DISTRICT","WESTERN REGION"
