"supplier","id","sup_id"
"PRECISION MEDICAL LABS","687","SUP430"
"LORDSLAND MEDICAL LABORATORIES","688","SUP761"
"GOPATH CLINICAL LABORATORIES","689","SUP86"
"BRUTAMINE ENTERPRISES","710","SUP754"
"PNI MOTORS AND SPARES","760","SUP241"
"Fortumux Investments","840","SUP30"
"Mechs Engineering","841","SUP459"
"Mechs","863","SUP994"
"RAVCOM TRAINING COMPANY","870","SUP571"
"PRINT MADE SIMPLE INV","879","SUP947"
"WILLIAM SMITH AND GOUROCK","880","SUP318"
"NATUREGATE SUPPLIERS","881","SUP894"
"PRINT POINT","883","SUP463"
"BACTRA INVESTMENTS","886","SUP714"
"BRACTRA INVESTMENTS","889","SUP21"
"SAKIO INVESTMENTS","891","SUP35"
"GREENDOOR STATIONERY","901","SUP859"
"ADCRIS INVESTMENTS","907","SUP812"
"AMINA CAPITAL","909","SUP657"
"CONTEAST CABLES","948","SUP474"
"SOLCLIP ENTERPRISES","963","SUP256"
"PYRAMID ENTERPRISES","968","SUP107"
"SUVIKIN ENTERPRISES","970","SUP719"
"KNOWGRACE INVESTMENTS","978","SUP839"
"Q & A ENGINEERING","980","SUP973"
"INCORPORATED HYGIENE SYSTEMS","1001","SUP991"
"TECHHUB TECHNOLOGIES","1022","SUP437"
"P AND I TRADING ","1073","SUP743"
"DANLADEN","1101","SUP857"
"ULTRABRITE DETEGENTS","1102","SUP335"
"TAPDAN CLEANING SERVICES","1107","SUP208"
"THROUGH FUMIGATION","1108","SUP376"
"NENCHEM","1109","SUP938"
"GLOER INVESTMENTS","1115","SUP39"
"HEATCENTRE","1120","SUP125"
"UNISCOTT INVESTMENTS","1127","SUP680"
"OVERHEADLINE ELECTRICAL SOLUTIONS","1138","SUP886"
"GEEKWAYS ENTERPRISES","1139","SUP310"
"CLEMILN","1140","SUP303"
"TREKOOL SOLUTIONS","1142","SUP527"
"CHRIS & JACOB","1146","SUP586"
"PACEMASTERS PANEL BEATERS","1147","SUP565"
"NIRA & SONS ENGINEERING","1149","SUP496"
"CLEMILN CONSTRUCTION & ENGINEERING","1162","SUP735"
"ALL POWER ENGINEERING","1163","SUP171"
"Tradrom (pvt) ltd","1167","SUP456"
"RANGEGROVE","1169","SUP163"
"Gold Throne Investments","1170","SUP343"
"DOCKYARD INVESTMENTS","1178","SUP628"
"CLASSIGOLD TRADING","1186","SUP669"
"FINDTECH (pvt) ltd","1203","SUP964"
"PLENTHOPE ","1213","SUP832"
"MUPRAY INVESTMENTS","1214","SUP131"
"CHIEF STONES ELECTRICAL","1215","SUP27"
"HURRICANE IRMA & COMPANY","1216","SUP397"
"ARMOURED ELECTRICALS (PVT) LTD","1217","SUP181"
"TETRA TECHNOLOGIES","1232","SUP823"
"FARNIC INVESTMENTS","1257","SUP285"
"HIGH COPY MANSION TECHNOLOGIES","1258","SUP819"
"MILLY TAKE ENTERPRISES","1259","SUP837"
"NATIONAL CARPETS AND CURTAINS","1261","SUP476"
"WALVERA CLASSYC DESIGNS","1262","SUP473"
"TOOLDAT ENTERPRISES","1263","SUP831"
"GOLD THRONE","1266","SUP855"
"VIDMAR INDUSTRIAL SUPPLIERS","1267","SUP873"
"DRUM CITY","1268","SUP75"
"NOBHART INVESTMENTS","1271","SUP750"
"LEGGIM","1278","SUP95"
"FURA TEQ","1280","SUP581"
"JANASKY ENTERPRISES PVT","1282","SUP315"
"AMOURED ELECTRICAL","1298","SUP282"
"KAMTAP INVESTMENTS","1299","SUP740"
"Mufudza Touch Investment","1331","SUP756"
"BARCO CHEMICALS (PVT) LTD","1338","SUP713"
"BLUE LIGHT CONSTRUCTION AND ENGINEERING","1339","SUP445"
"CENTURYELECTRICAL","1340","SUP111"
"Happyear technology","1350","SUP92"
"DIGI TECHNOLOGIES","1361","SUP651"
"DIGI VOICE TECHNOLOGIES","1369","SUP441"
"HOSAK ENGINEERING","1377","SUP695"
"DANVILL CAPITAL","1378","SUP885"
"DAVILL CAPITAL","1381","SUP957"
"FINCHTECH INVESTMENTS","1419","SUP984"
"TRICKMUT COMPUTERS","1421","SUP339"
"ALECHEM MANUFACTURERS","1432","SUP358"
"ANCIENT HEIGHTS INC","1436","SUP393"
"ZEBRA BASE ","1438","SUP856"
"TELECOM NETWORK & TRANSMISSION TECHNOLOGY","1439","SUP884"
"FASTFIT MATLOCK ","1444","SUP948"
"Muzvinapurazi Studios","1458","SUP7"
"EXECUTIVE DECISION (PVT) LTD","1459","SUP802"
"ASPIRE","1463","SUP302"
"CARTPEX INVESTMENTS","1464","SUP602"
"LEROMA INVESTMENTS","1475","SUP507"
"AFRIQUE SERV ENTERPRISES","1478","SUP869"
"MADDY INVESTMENTS","1489","SUP281"
"WILL AUTO MOTOR SPARES","1495","SUP744"
"CASSAWEX INVESTMENTS","1498","SUP777"
"ADCRAP INVESTMENTS ","1500","SUP63"
"TYRE TECH","1507","SUP366"
"INNOSIMM INVESTMENTS ","1509","SUP500"
"SHAMLONG TRADING ","1512","SUP882"
"FINMARK ENERGY","1513","SUP966"
"LEYLEE AUTO PARTS","1539","SUP465"
"DOCUMENT SUPPORT CENTRE","1554","SUP215"
"TRADROM PVT LTD","1566","SUP751"
"VYLARK TRADING","1581","SUP772"
"QUELING ENTERPRISES","1583","SUP186"
"MELOMAK HOLDINGS","1584","SUP723"
"RACHICCO CONSTRUCTION","1585","SUP717"
"MUNBERT CONSTRUCTION","1586","SUP613"
"CITRO CHEMICALS","1587","SUP936"
"ROSEBANT ENVIRONMENTAL","1590","SUP517"
"TOP-EDGE MEDICAL SUPPLIES","1591","SUP554"
"PEYNWOOD","1594","SUP74"
"CLEAR PATH MARKERTING","1599","SUP710"
"KNITWEAR FASHIONS","1600","SUP78"
"TENTSI PVT LTD","1601","SUP987"
"GOLDENBAY MOTOR SPARES","1604","SUP622"
"KINGDOM TYRES","1607","SUP453"
"ROYAL RAYS","1610","SUP486"
"TYREZONE","1615","SUP660"
"PAYLYNN SIGNS & ADVERTISING","1616","SUP540"
"TANYIL FASHIONS","1617","SUP985"
"INPAN ENTERPRISES","1620","SUP97"
"THE SUPPLY BRIDGE","1657","SUP620"
"CHIKBROS INVESTMENTS","1680","SUP41"
"BIAS ELECTRICAL & INSTRUMENTATION","1681","SUP550"
"TECHOLD ENGINEERING","1682","SUP910"
"RE-NET TECHNOLOGY ","1689","SUP746"
"TOUCHBASE TECHNOLOGIES","1691","SUP360"
"BRAND DIGITAL","1692","SUP274"
"DECENT INVESTMENTS","1695","SUP195"
"MAPNETTECHNOLOGIES","1696","SUP728"
"COMERTH INVESTMENTS","1697","SUP766"
"OMNI AFRICA","1710","SUP523"
"QUADRANT ZW","1720","SUP977"
"HILLTOP ","1721","SUP196"
"NATUREGATE INDUSTRIAL SOLUTIONS","1732","SUP810"
"CEVIMIC INVESTMENTS","1755","SUP685"
"INTERGRATED PEOPLE SOLUTIONS","1756","SUP519"
"CENTURY TECHNOLOGY","1767","SUP701"
"AASIKI PVT","1768","SUP373"
"NAJRIDTECH","1769","SUP907"
"MOBITECH SEVEN PVT","1770","SUP807"
"IMAGINE COMPUTERS","1771","SUP112"
"WILLCHART ENTERPRISES","1772","SUP650"
"Mtpex Systems","1775","SUP117"
"KEYCOM NETWORKS","1776","SUP937"
"TANTEL  DIGITAL COMMUNICATIONS","1777","SUP599"
"MSIZI BLOCK PVT LTD","1786","SUP787"
"FINESSE","1789","SUP773"
"MIGHTY SIGNS","1790","SUP50"
"CENTURY ELECTRICAL","1793","SUP314"
"GOLDENBAY POWER SOLUTIONS","1795","SUP504"
"NAJRID MEDICALS","1796","SUP347"
"PRESTORIATE MARKETING","1797","SUP724"
"HEALTH PHARM","1798","SUP338"
"CAREMATE","1799","SUP62"
"GRACIOUS MEDICALS","1800","SUP893"
"LIQUID CHEMICALS","1801","SUP604"
"BETTER FORCE","1802","SUP826"
"AVON CARE","1803","SUP144"
"ZIMBABWE PREMIUM ENTERPRISES","1804","SUP726"
"WOTAMED MEDICAL SUPPLIES","1805","SUP353"
"TANASHY TRADING","1806","SUP467"
"CHITURIRO BUILDERS","1807","SUP489"
"GALAKI PROJECTS","1808","SUP914"
"SLS MARKETING &BRANDING","1812","SUP17"
"BETTERFOC INVESTMENTS","1813","SUP372"
"REWARD PRINTERS","1820","SUP692"
"KELTRONIX ","1821","SUP896"
"ELECTRO-TEL (PVT) LTD","1850","SUP912"
"ELECTR-TEL (PVT) LTD","1853","SUP835"
"LEE CAPITAL","1862","SUP904"
"RODYMUSY","1869","SUP65"
"SUPPLY RIDE INVESTMENTS","1873","SUP515"
"SHELTECH COMPUTERS","1874","SUP952"
"SASHWILL","1875","SUP677"
"DON FOSS","1878","SUP847"
"HASHMO GLOBAL","1888","SUP130"
"RODYMUSY ENTERPRISES","1890","SUP421"
"OVACO ENTERPRISES","1891","SUP198"
"EVERGAS","1892","SUP672"
"ALG WORLD INVESTMENTS","1895","SUP748"
"ROYAL IT AND PRINTING","1897","SUP304"
"BESKERM","1910","SUP779"
"C J WORK WEAR","1912","SUP448"
"ADLET FIRE ENGINEERS","1915","SUP435"
"DEIFIC FIRE SYSTEMS","1916","SUP184"
"ROTHKOS FIRE ENGINEERS","1917","SUP483"
"KUNDISO CIVIL WORKS","1918","SUP955"
"STUB ENGINEERING","1920","SUP370"
"PLENTHOPE INVESTMENTS (PVT) LTD","1921","SUP118"
"KALTRADE PRIVATE LIMITED","1927","SUP194"
"HYDRA","1940","SUP340"
"EXCELLENCE ENGINEERING","1943","SUP269"
"WASTE AWAY PVT LTD","1951","SUP268"
