"supplier","id","sup_id"
"HEAD HUNTERS INCORPORATED","3649","SUP428"
"P & I TRADING ","3662","SUP212"
"KINTEX INVESTMENT","3665","SUP778"
"pelosh","3670","SUP217"
"ROSCO AFRICA","3679","SUP836"
"ElecMania (PVT) LTD","3680","SUP682"
"TECHSOFT SOLUTIONS ","3681","SUP516"
"AQUA FIRE EXECUTIVE ","3693","SUP142"
"TONBERT PRINTING CO.","3754","SUP931"
"ONE TOUCH ELECTICAL SERVICES","3755","SUP986"
"MABCON ENGINEERING","3756","SUP824"
"P& I TRADING","3780","SUP5"
"GROUP GOLDEN PROJECTS","3801","SUP377"
"SOARING INVESTMENTS","3806","SUP891"
"MT&N DISTRIBUTORS","3840","SUP616"
"GEA ZIMBABWE","3841","SUP114"
"EQUATION INVESTMENTS","3842","SUP529"
"PALMREST CORPORATE WEAR","3843","SUP830"
"VINCI TECH","3908","SUP354"
"  VINCI TECH ","3910","SUP969"
"BREASTPLATE SERVICES","3912","SUP439"
"CLEANUR","3913","SUP794"
"POWERSTAR ZIMBABWE","3914","SUP684"
"ROMELIUS INVESTMENTS","3934","SUP6"
"FICTECH (PVT) LTD","3935","SUP286"
"SUPER CHOICE","3940","SUP133"
"P & I TRADING AND MANUFACTURING","4003","SUP903"
"REAL TIME DISTRIBUTORS","4069","SUP450"
"TEY ALLENZ GRANGER","4074","SUP455"
"ZIM OFFICE SUPPLIES","4075","SUP161"
"BRANDING IDEE INVESTMENTS","4078","SUP661"
"JEFF-DANIELS","4087","SUP631"
"PROMOTIONAL CORPORATE GIFTS","4089","SUP930"
"E-BRANDING","4090","SUP900"
"DUMWAT PVT LTD","4117","SUP939"
"Rue and Kings","4132","SUP116"
"QUADK HOME IMPROVEMENTS ANDDESIGNS","4138","SUP814"
"PEEL BRANDS","4145","SUP424"
"REDECON","4150","SUP629"
"SWORD","4151","SUP989"
"APERTURE INTERNATIONAL","4159","SUP83"
"KENTOM ELECTRICAL","4164","SUP447"
"MATTEX BRANDS","4167","SUP213"
"PLEASECON ENTERPRISES","4196","SUP564"
"E-DIRECTORIES","4209","SUP79"
"SOURCE GLOBAL ALLIANCE","4211","SUP329"
"RUE & KINGS","4212","SUP91"
"ALCARE ENTERPRISES","4213","SUP132"
"ACTIVE MARKETING INTERNATIONAL","4214","SUP129"
"KENCEL INVESTMENTS","4245","SUP526"
"CABLESTRING FIRE.CO","4264","SUP273"
"WARETECH TRADING ","4265","SUP501"
"DELUGE ENGINEERING","4270","SUP688"
"KUKAYA ENGINEERING","4271","SUP760"
"A.S FIRE PROTECTION & SERVICES","4272","SUP149"
"ACTIVE INSIGHT PVT LTD","4281","SUP995"
"PURPLETECH","4287","SUP676"
"SUPER CHOICE BRANDS","4297","SUP587"
"KENTOM","4308","SUP404"
"PLATA INVESTMENTS","4311","SUP908"
"EZARD CONTRACTORS","4314","SUP341"
"REAL STAR SECURITY","4346","SUP558"
"SENTINEL SECURITY TECHNOLOGY","4347","SUP66"
"LAST PACK","4353","SUP176"
"ROSELT MITCHELL ENTERPRISES","4378","SUP478"
"MOTRITAMA PVT LTD","4398","SUP981"
"RAY GROOVE ENGINEERING","4420","SUP642"
"CONTROLLED COOLING PVT LTD","4424","SUP544"
"COOLBRIDGE AIR CONDITIONING","4425","SUP865"
"TETRAULT  TRADING","4460","SUP312"
"MUNNEX CORPORATE SYSTEMS","4464","SUP860"
"DUCKNER INVESTMENTS","4465","SUP173"
"Globtech solutions & computing","4475","SUP128"
"ENHANCED ELECTRICAL POWER PROJECTS","4486","SUP641"
"SIMBISA","4490","SUP411"
"SIMBISA BRANDS","4493","SUP734"
"BARCELOS","4496","SUP883"
"CZB PROPERTIES","4501","SUP720"
"NATIONS HARDWARE","4502","SUP246"
"FARM AND CITY","4503","SUP858"
"OPEN HOUSE BUILDING","4512","SUP400"
"byco","4513","SUP941"
"monarch steel","4521","SUP923"
"CBZ PROPERTIES","4528","SUP332"
"HAMMER AND TOUNGES AFRICA HOLDINGS","4529","SUP712"
"CRUSADER REAL ESTATE","4530","SUP863"
"GLOBAL WORLD PROPERTIES","4531","SUP539"
"ENTREDEV VALUATION SURVEYORS","4532","SUP626"
"Herald House","4533","SUP47"
"ZENT MANUFACTURING","4534","SUP762"
"POWERTEL ","4536","SUP322"
"PICK N PAY","4540","SUP745"
"KFC","4542","SUP639"
"the builders home","4556","SUP541"
"TANY TAAC MEDIA","4568","SUP902"
"NHANHO MEDIA & ADVERTISING","4569","SUP806"
"KREATIVZX MEDIA","4570","SUP793"
"P & R FIRE PROTECTION ENGINEERING ","4586","SUP634"
"PROFESSIONAL FIRE ENGINEERS","4587","SUP203"
"ATOM RESOURCES ","4600","SUP405"
"MUKWAMBO TENDAI ","4604","SUP862"
"PROTYRE PROFESSIONAL FITMENT CENTRE","4605","SUP402"
"TIGER WHEELS & TYRE","4607","SUP221"
"MOTOR TORQUE","4610","SUP905"
"BAITON SOLUT IONS","4643","SUP228"
"CHARLES KAKORA NYAKUDYA","4645","SUP511"
"ELECTROSALES HARDWARE","4648","SUP767"
"BUILDERS INN HARDWARE","4649","SUP200"
"CRAIG CREEK TRADING","4650","SUP330"
"WHEELDON STEEL & STRUCTURAL REINFORCEMENTS","4651","SUP518"
"VALIDATEK","4652","SUP552"
"K MAUTSA","4667","SUP276"
"KINGSON ENGINEERING","4700","SUP271"
"PG CENTER","4703","SUP840"
"RANCHLATE AGRICULTURAL SUPPLIES & HARDWARE","4704","SUP239"
"HALSTED BUILDERS EXPRESS","4710","SUP707"
"THE HUMAN CAPITAL CONNECTION","4714","SUP928"
"CENTRAL PROCUREMENT CONSULTANTS","4715","SUP190"
"Pridham investments","4716","SUP305"
"Teecherz","4718","SUP525"
"checkers home & office","4721","SUP872"
"OK ZIMBABWE LIMITED","4723","SUP945"
" furniture merchants","4724","SUP301"
"Owner driven","4726","SUP275"
"Spares Inn","4729","SUP33"
"CHOPPIES","4731","SUP978"
"brian chinyakata","4733","SUP180"
"dynamic tobacco  merchan","4735","SUP265"
"kumbirayi mautsa","4736","SUP49"
"RUVIMBO S GANJE","4748","SUP470"
"J CHIADZWA","4749","SUP535"
"WINSTON KARUMAZONDO","4754","SUP61"
"TAFADZWA REGGIS DZINGAI","4755","SUP259"
"SAVEMORE CHAKUWAMBA","4756","SUP369"
"TEECHERZ FURNITURES","4758","SUP249"
"XTREME CAR HIRE","4759","SUP199"
"NGONI MUKWADA","4761","SUP145"
"FRANCISMANGWIRO","4762","SUP278"
"TM SUPERMARKETS","4775","SUP51"
"VANNKERK TRADING","4779","SUP567"
"OFFICE MAX","4786","SUP553"
"LAWACHA","4792","SUP236"
"ACCESS MARKETING","4795","SUP178"
"ELECMANIA PVT LTD","4800","SUP530"
"PEARLS OF AFRICA PVT LTD","4801","SUP575"
"AQUATIC HYDROLOGICAL SERVICES","4802","SUP607"
"UNION HARDWARE","4807","SUP148"
"COUNTRY CLUB","4814","SUP396"
"simbisa nandos","4815","SUP690"
"simbisa chicken inn","4816","SUP222"
"SINO TRUCK ZIMBABWE","4818","SUP933"
"Gain","4823","SUP592"
"STEEL MATE INVESTMENTS","4824","SUP298"
"RADLAY AUTOMATION","4826","SUP584"
"BRAKURON INVESTMENTS","4828","SUP121"
"YEMURAGE","4851","SUP731"
"FOOD WORLD","4853","SUP512"
"WESTBILL TRADING T/A STEEL WAREHOUSE","4860","SUP279"
"BSI STEEL","4865","SUP219"
"ACE INDUSTRIAL","4872","SUP612"
"H MANDIMA INVESTMENTS","4875","SUP619"
"PHOTON POWER NETWORKS","4876","SUP60"
"OLIVER CHARLES MPOFU","4883","SUP122"
"KRISTY MOONSAMMY","4892","SUP652"
"TAGONESWA","4902","SUP849"
"EDWIN TAKUNDA MUGWARA","4908","SUP93"
"PASVANI INVESTMENT","4914","SUP67"
"kingdom paints","4918","SUP123"
"NAISON MUREHWA","4939","SUP391"
"nash paints","4940","SUP899"
"paint express","4963","SUP349"
"DIMMY RANVENGA","4973","SUP293"
"1","4978","SUP889"
"DIMMY RANZVENGA","4981","SUP227"
"JOSHUA TINASHE MUNGORIWO","4984","SUP979"
"DYNAMIC TOBACCO MERCHANTS","5007","SUP992"
"MUGWISI LOVEMORE","5008","SUP769"
"DAINAH PAULINA MAPIRA","5021","SUP401"
"TINASHE SITHOLE","5051","SUP115"
"ANNIE MAPFUNDE","5053","SUP355"
"BATA SHOE COMPANY","5080","SUP653"
"BONE AIR ENGINEERING","5094","SUP522"
"NEPRO AIR","5098","SUP22"
"INDUSTRIAL TRAINING AND TRADE TESTING","5102","SUP361"
"CALTON INVESTMENTS","5122","SUP141"
"wonder jongwe","5124","SUP694"
"DELTA BEVERAGES","5125","SUP813"
"NEVERMIND PUWERA","5129","SUP502"
"LAWRENCE MUSONZA","5130","SUP764"
"sandavan holdings ","5132","SUP782"
"refresh beverage solutions","5153","SUP31"
"BISHEM DHURA","5175","SUP96"
"CHECKERS","5177","SUP647"
"CAPRI APPLIANCES","5179","SUP967"
"CRYSTAL CLEARVIEW FENCING","5180","SUP593"
"TREVOR TAPFUMANEYI","5181","SUP683"
"POMONA STEEL & FENCING","5186","SUP528"
"BARRIER TECH","5187","SUP204"
"STOHILL PROPERTIES","5188","SUP809"
"BARCELOS FLAME GRILLED CHICKEN","5201","SUP247"
"ZIMBABWE AGRICULTURE SOCIETY","5207","SUP294"
"Appollonia","5221","SUP776"
"Appollonia Chakudunga","5261","SUP57"
"Jeffery Chiadzwa","5268","SUP413"
"Pascal Kachidzwa","5272","SUP644"
"Ned Matumbu","5279","SUP230"
"TENDO ELECTRONICS","5280","SUP386"
"MINING &INDUSTRIAL SUPPLIERS","5281","SUP237"
"Godfrey Fundo","5290","SUP601"
"Spellbound","5292","SUP37"
"NASH FURNISHERS","5304","SUP976"
"WEPH COMMERCIAL AGENCIES PVT LTD","5307","SUP126"
"CANSAN ELECTRONICS","5308","SUP861"
"STAR TRACK PROJECTS","5310","SUP344"
"EKHAYA GUEST HOUSE","5320","SUP179"
"DOMINICAN CONSTRUCTION","5327","SUP482"
"ROSEBAND INTERNATIONAL","5328","SUP821"
"NATIONS HARDWARE & ELECTRICAL","5338","SUP205"
"TYPLET BOREHOLE DRILLING","5341","SUP843"
"toyota zimbabwe","5345","SUP29"
"TELONE","5346","SUP763"
"MECON HOLDINGS","5365","SUP804"
"goldtech","5366","SUP509"
"zacks electronics","5374","SUP815"
"SKINNERS AUTO BODY REPAIRS","5437","SUP387"
"SPAR","5441","SUP645"
"MEGA PAK ZIMBABWE","5442","SUP311"
"SOUTHERN AFRICA ASSOCIATION OF ACCOUNTANTS","5443","SUP693"
"CHOICE SUPAR FARM PRODUCE","5444","SUP244"
"FLEANANCE INVESTMENTA","5452","SUP384"
"PALMER CONSTRUCTION","5458","SUP218"
"TM PICK n PAY","5464","SUP43"
"MEDICAL IMAGING CENTRE","5470","SUP635"
"Pioneering health group","5476","SUP757"
"betta ball sports","5477","SUP956"
"ariel spors","5489","SUP725"
"leon sports","5491","SUP440"
"KINGSLAND INVESTMENTS","5497","SUP296"
"TV SALES AND HOME","5503","SUP929"
"HILIGHT ELECTRONICS","5518","SUP563"
"BLUEWAVE GAS N SOLAR","5521","SUP897"
"LOSAVE INVESTMENT","5528","SUP337"
"GUEST AND TANNER","5534","SUP841"
"WOODTHROPE","5535","SUP193"
"tile carpet","5537","SUP785"
"BHOLA","5539","SUP390"
"FORESTRY & GARDEN TOOLS Pvt Ltd","5557","SUP561"
"KAPSLOCKE MARKETING","5582","SUP407"
"TILE & CARPET","5607","SUP270"
"Zimbabwe newspapers","5610","SUP993"
"QUALITY PAINTS & WALLPAPERS","5614","SUP479"
"PREMIER CATERING AND EQUIPMENT","5615","SUP495"
"BIZLINK CATERING EQUIPMENT SOLUTIONS","5616","SUP457"
"CARTER & BAKE EQUIPMENT SUPPLIERS","5618","SUP53"
"OPEN HOUSE ","5621","SUP342"
"JJ MAINTENANCE & BUILDING","5627","SUP320"
"foodworld","5642","SUP702"
"HOLIDAY INN","5645","SUP711"
"ZINARA","5646","SUP87"
"kribe caleb chipamuriwo","5649","SUP703"
"IPMZ","5653","SUP583"
"PGTIMBERS","5662","SUP458"
"MINISTRY OF HOME AFFAIRS AND CULTURAL HERITAGE","5665","SUP446"
"ALUMIN STRUCTURES","5668","SUP165"
"C.A.A.P.S ALUMINIUM &GLASS","5673","SUP556"
"MCROBSON TRADING","5678","SUP888"
"SANGANA AFRICA PVT LTD","5682","SUP678"
