"document_id","item_required","qty","uom","id"
"RQ19101499","Microwave","1","each","1597"
"RQ19101454","4 plate stove","1","each","1598"
"RQ19101457","4 plate stove","1","each","1599"
"RQ19101482","20 litre Water Urn","1","each","1600"
"RQ19101418","20 litre Water Urn","1","each","1601"
"RQ19101471","20 litre Water Urn","1","each","1602"
"RQ19101589","Cell Phone for Commercial Officer-Kumunda Charles","1","each","1603"
"RQ19101523","BOARDROOM CHAIRS","20","each","1604"
"RQ19101560","SWIVEL CHAIRS","28","each","1605"
"RQ1910163","Repair canopies ","5","each","1606"
"RQ19101691","4 plate stove","1","each","1607"
"RQ19101663","19mm Substation stone for Masvingo District","1235","each","1608"
"RQ19101668","4ft LED FLUORESCENT TUBES","50","each","1609"
"RQ19101799","Cell Phone for Systems Support Officer (Samsung Galaxy A10)","1","each","1610"
"RQ19101865","Purchase of wheel bearing grease for use at Mutare Garage Vehicle Workshop","30","kgs","1611"
"RQ19101878","Purchase of Degreaser for use at Mutare Garage Vehicle Worksop","40","litres","1612"
"RQ19101877","Mutton cloth rolls for use by Artisan Mechanics at Mutare Garage","22","kgs","1613"
"RQ1910186","Purchase of 5w40 Synthetic oil for use on Isuzu KB 240 6th generation","60","litres","1614"
"RQ19101820","spark plugs","10","packets","1615"
"RQ19101820","fuel filters","10","each","1616"
"RQ19101880","Tappet Cover gasket for Isuzu KB240 6th generation","10","each","1617"
"RQ19101880","air filter for Isuzu KB240 6th generation","10","each","1618"
"RQ19101875","spark plugs for Mazda BT50/B1800 trucks","2","packets","1619"
"RQ19101849","oil filters z153","11","each","1620"
"RQ19101849","diesel filter z541","11","each","1621"
"RQ19101849","air filter np300 4x4","11","each","1622"
"RQ19101849","lower ball joints","15","packets","1623"
"RQ19101849","upper ball joints","15","packets","1624"
"RQ19101874","oil filter z296","3","each","1625"
"RQ19101874","diesel filter z94","3","each","1626"
"RQ19101874","diesel filter G989","3","each","1627"
"RQ19101874","air filter ADG 990R","3","each","1628"
"RQ19101874","air filter ADG 991R","3","each","1629"
"RQ19101883","oil filter z296","2","each","1630"
"RQ19101883","diesel filter z94","2","each","1631"
"RQ19101883","air filter ADR 955","2","each","1632"
"RQ19101883","air filter inner ADR 956","2","each","1633"
"RQ1910184","Contravision - Color Blue","1","each","1634"
"RQ19101897","Contravision - Color Blue","1","each","1635"
"RQ19101835","Till rolls","50","each","1636"
"RQ19102158","Double Bed","1","each","1637"
"RQ19102193","Engine oil ","300","litres","1638"
"RQ19102165","mutton cloth","10","kgs","1639"
"RQ19102173","multipurpose grease","15","kgs","1640"
"RQ1910211","wheel bearing grease","15","kgs","1641"
"RQ19102178","ATF oil","20","litres","1642"
"RQ19102166","Gear Box oil","40","litres","1643"
"RQ1910216","engine Cleaner","40","litres","1644"
"RQ19102111","brake fluid","15","litres","1645"
"RQ19102199","wipers 16""inch","10","each","1646"
"RQ19102151","wipers 18""inch","10","each","1647"
"RQ19102133","wipers 22""inch","5","each","1648"
"RQ19102143","Hand Cleaner","10","litres","1649"
"RQ19102121","Z153 Oil filter","10","each","1650"
"RQ1910219","Z91c Oil Filters","5","each","1651"
"RQ19102116","service F/No 2158","1","each","1652"
"RQ19102196","Z156 Oil Filter","5","each","1653"
"RQ19102122","Z248 Oil Filters","5","each","1654"
"RQ19102163","Z296 oil filters","4","each","1655"
"RQ19102197","Energy saver bulbs","10","each","1656"
"RQ19102159","Spark Plugs BKR6EK","20","each","1657"
"RQ19102128","Spark Plugs BKR6EY","20","each","1658"
"RQ19102189","L200, Mitsubish , Heater Plugs","16","each","1659"
"RQ19102147","Z425 fuel filters","10","each","1660"
"RQ19102142","Z219 Fuel filters","5","each","1661"
"RQ19102134","Z 220 fuel filters","5","each","1662"
"RQ19102172","Z 188 Fuel Filters ","5","each","1663"
"RQ19102192","E67 fuel filters","5","each","1664"
"RQ19102188","E79 Fuel filters","5","each","1665"
"RQ19102145","Z94 Fuel filters ","4","each","1666"
"RQ19102181","G989 Fuel Filters","4","each","1667"
"RQ19102179","air Filters G865","10","each","1668"
"RQ19102112","Air Filter ADG990","4","each","1669"
"RQ19102186","Air Filter ADG991R","4","each","1670"
"RQ19102131","Air Filter ADG991R","4","each","1671"
"RQ19102160","Air Filters ADG956","4","each","1672"
"RQ19102295","Z180 Fuel filters ","5","each","1673"
"RQ19102216","Air Filters ADG955","4","each","1674"
"RQ19102228","Spark Plugs BP6ES","20","each","1675"
"RQ19102269","650 Battery","1","each","1676"
"RQ19102252","650 Battery","1","each","1677"
"RQ19102270","FLOODLIGHT FITTING E40 500W","14","each","1678"
"RQ19102236","BLENDED BULBS E40 500W MERCURY FOR S/S LIGHTING","22","each","1679"
