"document_id","rfq_date","scope_of_work","closing_date","closing_time","rfq_no","advert","pr_number","pr_date","tender_opened","tac_date","region"
"TD23032054","2023-02-24"," RING MAIN UNIT NON EXTENSIBLE. IIKV 3WAY FOR STATE HOUSE","2023-03-01","10:00","10244744","adverts/Xerox Scan_16032023143748.PDF","acc404088","2023-02-24","2023-03-01","2023-03-20","harare"
"TD23032056","2023-03-16"," CABLE RECOVERY FOR CBD DEPOT","2023-03-17","10:00","10244144","adverts/Xerox Scan_20032023083732.PDF","acc404088","2023-03-20","2023-03-17","2023-03-20","harare"
"TD23032065","2023-03-17"," CABLE TRENCHING","2023-03-17","14:00","10246367","adverts/Xerox Scan_20032023084406.PDF","acc404088","2023-03-20","2023-03-17","2023-03-20","harare"
"TD23032081","2023-03-09"," JOINTING KITS 120-185MM2 11KV 3C XLPE FOR CBD REF STF 3015915","2023-03-14","10:00","10245793","adverts/Xerox Scan_16032023140003.PDF","acc404088","2023-03-09","2023-03-14","2023-03-20","harare"
"TD23032083","2023-03-09","PURCHASE OF FUSE CARRIER 200/400A 82.5MM MV","2023-03-14","10:00","10245889","adverts/Xerox Scan_16032023100259.PDF","acc404088","2023-03-20","2023-03-14","2023-03-20","harare"
"TD23032084","2023-03-17"," TRENCHING BETWEEN S/S 185 AND 596 CB89 GREYSTONEBORROWDALE CSC","2023-03-17","14:00","10246366","adverts/Xerox Scan_20032023084622.PDF","acc404088","2023-03-20","2023-03-17","2023-03-20","harare"
"TD2303209","2023-03-06","READVERT OF  RING MAIN UNIT NON EXTENSIBLE. IIKV 4WAY FOR STATE HOUSE","2023-03-09","10:00","RE10244743","adverts/1679318185Xerox Scan_16032023144501.PDF","acc404088","2023-03-06","2023-03-09","2023-03-20","harare"
"TD23032095","2023-03-09"," J/KIT  120 - 185MM2 3C 11KV  PILC FOR CBD REF STF 3015915","2023-03-14","10:00","10245972","adverts/Xerox Scan_16032023140316.PDF","acc404088","2023-03-09","2023-03-14","2023-03-20","harare"
"TD23032126","2023-03-17"," MCB S/P AC 60AMP FOR PPMS AND LOOPED SERVICES  ","2023-03-21","10:00","10246091","adverts/Xerox Scan_21032023112825.PDF","acc404087","2023-03-17","2023-03-21","2023-03-21","harare"
"TD23032187","2023-03-13"," INSUL.SHACKLE 78MM DIA 64MM HIGH PORCEL PREPAYMENT METER AND LOOPED SERVICES MATERIAL","2023-03-16","10:00","10245967","adverts/Xerox Scan_21032023113235.PDF","acc404086","2023-03-13","2023-03-16","2023-03-21","harare"
"TD2303219","2023-03-09"," THERMAL TILL ROLLS 80*83*MM","2023-03-14","10:00","10242567","adverts/Xerox Scan_21032023112531.PDF","acc466605","2023-03-09","2023-03-14","2023-03-21","harare"
"TD23032212","2023-03-16"," BOARD MV 8-WAY - FOR S/S 446 ZENGEZA 1 MHUNGU CRESCENT ZENGEZA DEPOT","2023-03-21","10:00","RE10240171","adverts/Xerox Scan_22032023075859.PDF","acc404088","2023-03-16","2023-03-21","2023-03-22","harare"
"TD2303222","2023-03-15"," INSULATORS POLYMER STRING REQUIRED FOR OPS REF STF 3007610","2023-03-20","10:00","10245184","adverts/Xerox Scan_22032023074635.PDF","acc404088","2023-03-15","2023-03-20","2023-03-22","harare"
"TD23032224","2023-03-13","D-IRONS REQUIRED FOR  PREPAYMENT METER AND LOOPED SERVICES MATERIAL","2023-03-16","10:00","10245966","adverts/Xerox Scan_16032023141925.PDF","acc404086","2023-03-13","2023-03-16","2023-03-22","harare"
"TD2303223","2023-03-13"," STATIONERY FOR STOCK REPLENISHMENT","2023-03-17","10:00","10242572","adverts/Xerox Scan_22032023075700.PDF","acc466605","2023-03-13","2023-03-17","2023-03-22","harare"
