,document_id,sup_id,model,status,message
1144,D22120150,ze281875,Committee,Success,SUCCESS
1145,D22120150,ze309702,Committee,Success,SUCCESS
1146,D22120150, ,DPApproval,Failed,DB finance_user empty
1147,D22120150, ,DPApproval,Failed,GM DB finance_user empty
1148,D22120174,ze281875,Committee,Success,SUCCESS
1149,D22120174,ze309702,Committee,Success,SUCCESS
1150,D22120174, ,DPApproval,Failed,DB finance_user empty
1151,D22120174, ,DPApproval,Failed,GM DB finance_user empty
1152,D22120180,ze281875,Committee,Success,SUCCESS
1153,D22120180,ze309702,Committee,Success,SUCCESS
1154,D22120180, ,DPApproval,Failed,DB finance_user empty
1155,D22120180, ,DPApproval,Failed,GM DB finance_user empty
1156,D22120181,ze281875,Committee,Success,SUCCESS
1157,D22120181,ze309702,Committee,Success,SUCCESS
1158,D22120181, ,DPApproval,Failed,DB finance_user empty
1159,D22120181, ,DPApproval,Failed,GM DB finance_user empty
1160,D22120713,ze281875,Committee,Success,SUCCESS
1161,D22120713,ze309702,Committee,Success,SUCCESS
1162,D22120713, ,DPApproval,Failed,DB finance_user empty
1163,D22120713, ,DPApproval,Failed,GM DB finance_user empty
1164,D22121313,ze281875,Committee,Success,SUCCESS
1165,D22121313,ze309702,Committee,Success,SUCCESS
1166,D22121313, ,DPApproval,Failed,DB finance_user empty
1167,D22121313, ,DPApproval,Failed,GM DB finance_user empty
1168,D22121321,ze54119,Committee,Success,SUCCESS
1169,D22121321,ze231169,Committee,Success,SUCCESS
1170,D22121321, ,DPApproval,Failed,DB finance_user empty
1171,D22121321, ,DPApproval,Failed,GM DB finance_user empty
1172,D22121332,ze281875,Committee,Success,SUCCESS
1173,D22121332,ze309702,Committee,Success,SUCCESS
1174,D22121332, ,DPApproval,Failed,DB finance_user empty
1175,D22121332, ,DPApproval,Failed,GM DB finance_user empty
