,document_id,sup_id,model,status,message
758,D22080197, ,DPApproval,Failed,DB finance_user empty
759,D22080197, ,DPApproval,Failed,GM DB finance_user empty
760,D22080211,ze293091,Committee,Success,SUCCESS
761,D22080211,ze309702,Committee,Success,SUCCESS
762,D22080211, ,DPApproval,Failed,DB finance_user empty
763,D22080211, ,DPApproval,Failed,GM DB finance_user empty
764,D22080251,ze293091,Committee,Success,SUCCESS
765,D22080251,ze309702,Committee,Success,SUCCESS
766,D22080251, ,DPApproval,Failed,DB finance_user empty
767,D22080251, ,DPApproval,Failed,GM DB finance_user empty
768,D2208042,ze296538,Committee,Success,SUCCESS
769,D2208042,ze309702,Committee,Success,SUCCESS
770,D2208042, ,DPApproval,Failed,DB finance_user empty
771,D2208042, ,DPApproval,Failed,GM DB finance_user empty
772,D22080429,ze293091,Committee,Success,SUCCESS
773,D22080429,ze309702,Committee,Success,SUCCESS
774,D22080429, ,DPApproval,Failed,DB finance_user empty
775,D22080429, ,DPApproval,Failed,GM DB finance_user empty
776,D22080443,ze293091,Committee,Success,SUCCESS
777,D22080443,ze309702,Committee,Success,SUCCESS
778,D22080443, ,DPApproval,Failed,DB finance_user empty
779,D22080443, ,DPApproval,Failed,GM DB finance_user empty
780,D22081030,ze296538,Committee,Success,SUCCESS
781,D22081030,ze309702,Committee,Success,SUCCESS
782,D22081030, ,DPApproval,Failed,DB finance_user empty
783,D22081030, ,DPApproval,Failed,GM DB finance_user empty
784,D22081047,ze296538,Committee,Success,SUCCESS
785,D22081047,ze309702,Committee,Success,SUCCESS
786,D22081047, ,DPApproval,Failed,DB finance_user empty
787,D22081047, ,DPApproval,Failed,GM DB finance_user empty
788,D22081056,ze296538,Committee,Success,SUCCESS
789,D22081056,ze309702,Committee,Success,SUCCESS
790,D22081056, ,DPApproval,Failed,DB finance_user empty
791,D22081056, ,DPApproval,Failed,GM DB finance_user empty
792,D2208109,ze296538,Committee,Success,SUCCESS
793,D2208109,ze309702,Committee,Success,SUCCESS
794,D2208109, ,DPApproval,Failed,DB finance_user empty
